BV1CN411o7WE	一个男人骑着自行车走下一段楼梯。
BV14z411e7AQ	在健身房做俯卧撑的人。
BV14t4y1Q7WM	一个男人正在健身房举重。
BV1af4y1h7CE	一个男人癫痫病发作晕倒在地上，两个护士在抢救他。
BV15K411J7Uu	一群人在操场上拔河。
BV115411P7u9	穿蓝裙子的女人。
BV1HQ4y197uA	一群人在做弓步摆肩操。
BV1j44y1k7rL	一个人拿着拖把蹦极。
BV1Dk4y1979o	男孩和女孩一边聊天一边吃东西。
BV1hV411z7ki	一个男人在白色的地板上跳舞。
BV1it411R7ve	一个男人在介绍电池。
BV13t4y167X1	一个人把灌汤包拿起来，结果包子露馅了。
BV1HP4y1s769	一个人在烤肉。
BV16a4y1h7Pm	一个人在摊位上烤肉。
BV13h411a7w3	一个女人抱着婴儿拍照。
BV1GD4y1m7Uj	一只老鼠在学生宿舍通气管上跑。
BV1cT4y1u772	一个人站在一台机器前，把东西放进自己的口袋里。
BV16K411T7Lq	中国外交发言人在讲台上讲话。
BV1Hy4y1a7Vo	男人给女人买裤子。
BV1co4y1C74H	一群人在屋里里奔跑抢座位。
BV1FA411q77t	两名消防员在消防水车前聊天。
BV1CV411C7Fw	一名男子在为另一个人按摩背部。
BV1aU4y1p7eA	一个男人穿过有特殊装置的十字路口。触发了装置，拦截了想要闯红灯的汽车。
BV1Bt4y1B7m8	一个男人用特效展示变身的过程
BV1e7411q7VX	一个人坐在水泥块上讲话。
BV1454y1q7CP	一名女性从汽车中走出来并点头。
BV1Hv411p7b6	一个男人戴着一顶帽子在街上奔跑。
BV1Cz4y1C7ds	一个人在平板电脑上绘制两个小孩荡秋千。
BV1i54y1e7oC	美术老师被学生吓得跳起来。
BV1hb4y1m7zj	一个男人正坐下来剥鸡蛋。
BV1DT4y1w75f	几个女孩在一起聊天。
BV13C4y1h7pw	女孩守在考场外为朋友送花
BV13t4y1i7jd	一个人在房间里玩悠悠球。
BV1DK4y1L7Xv	一个男人和一个女人正在用锤子锤一个银色的盒子。
BV18P4y1Y7t5	一名妇女正在接受摄像机采访。
BV1fq4y1j7Sa	两个男人拿着一张纸说话。
BV1eU4y177Yu	一个男人在宿舍里看手机，周围是椅子和桌子。
BV1Ji4y1c7zQ	护士准备给病人输液
BV1cr4y1N7dD	一个人在做饭。
BV12U4y157uC	两个女人一个坐在柜子上拍照，一个站在旁边。
BV11r4y1c7sr	一些学生在教室里。
BV11V411h7w1	两个女人在院子里泡茶。
BV1EZ4y1G7mG	一个人坐在火堆旁。
BV1ap4y1C79Y	一名男子在使用哑铃健身。
BV19V411z7KU	一个戴着口罩的女孩正在汽车旁边跳舞。
BV1jE411L7i3	婚礼现场新郎以公牛姿势穿过一群参加婚礼的人
BV1Bb411k7Gh	一个人在拍摄广告，在室内跳舞，在空中跳伞
BV1BE41127Ki	一个穿着铠甲的战士骑着马在草地上奔驰
BV1CE411N7ZX	一个男人在一块垫子上做仰卧起坐
BV19v4y1Z72U	一个人用满是尘土的网球拍在打网球。
BV1jk4y1y7Su	一个美国男子带着口罩说话。
BV1FE411R7tF	一个女人打台球但是台球杆打到了自己。
BV14K4y157UM	一群人在超市中抢着拿东西。
BV1bJ411e7us	水獭抱着小水獭不停的舔
BV1ek4y117zs	在水上乐园里，一个骑着海豚的男孩被水浪冲起来
BV1AE411v7eo	一个女人在水上滑梯飞速下滑，掉进一个游泳池里。
BV1A54y1J7fQ	两个运动员在打乒乓球，有个人突然冲进来给运动员送椅子
BV16t411C78K	一个男子在吐出烟圈。
BV1AT4y1K7QY	一个穿着蓝色紧身裤和白色上衣的女人坐在板凳上，正在弹钢琴。
BV18y4y1h7cD	黑熊在浴缸中洗澡
BV16t4y167Vj	一个跑车在街道上变形成变形金刚，并有炫酷的灯带。
BV1bv41147rf	一个女人演示如何利用武术击打一个人
BV12x41127fR	一个女子在蹦极。
BV1Ay4y1i7wc	一个男人系着蓝色领带对着镜子自拍。
BV1Hf4y167Uz	一个人在操场上跳跃
BV11q4y1n78M	一个女孩在编辫子。
BV1BV411x7Yn	一辆坦克正驶过街道。
BV1Gz41187tw	一个男孩在拍打一个小女孩。
BV14K411F7RM	一个男人展示如何在滑滑板摔倒后起来
BV1AC4y1h73S	宝宝在爸爸开车时教育爸爸
BV1iE411X7HG	一个男人在用玻璃杯调制酒
BV1Dq4y1p79h	电车里的一群人在欢呼而一个人在扶着额头
BV1AA411E7vF	一个戴着眼罩的男人正在练习拳击动作。
BV1A64y1B7um	黑眉锦蛇在攻击
BV1Fg411j7AA	一个女人在和一个小女孩打乒乓球
BV1D5411b7vG	一个人在制作拉面。
BV1Bh411f7aw	男人表演用拳悬空断砖
BV1CK411A719	孩子们在练习射击。
BV1hA411N7oQ	猫被小刺猬扎
BV1aA411v7pU	一只长颈鹿对另一只长颈鹿求偶
BV1j7411u72s	一个小女孩在朗读课文
BV1FZ4y1p77n	一只狗狗被主人叫名字而快乐地叫。
BV14k4y1k7Q7	一个女人在编头发。
BV1DE411H73V	一男子伸手挑逗笼子里的狮子
BV1HJ411t73q	一男子在操场上跑步
BV1B5411h73a	孩子们围成一圈拍球。
BV12E411B7qy	一个男人在教如何运球
BV1hX4y1c79g	一男子在打拳击。
BV18z4y1k7Cq	一个黑苹果上面有水滴。
BV1C7411M7Z9	一个男子在打沙袋
BV1BK4y1j7JF	一个女子在室内表演简单吊环舞
BV1584y1c7vb	一个男人在吃奶酪
BV1bt411J7tG	一个人展示用粘土制作小苹果
BV1Da4y1J7V3	一男子弹跳飞跃五人扣篮
BV15g411V7Ga	一个人在水下游泳
BV1GJ411G76s	一男子教学展示跑酷动作翻滚
BV1e7411A7PA	士兵用16辆坦克在雪地摆爱心求婚。
BV1By4y1k78u	一条柯基狗跑向一个女人。
BV11Z4y1w7eu	幼师小姐姐教孩子们玩游戏。
BV17v411z7Vs	一头小鹿在草丛中吐舌头。
BV1Aa4y1x75W	一个女孩穿一双漂亮的一字带高跟鞋
BV1hk4y1B7ex	新娘穿着红色汉服在婚礼上行走
BV124411q72z	一个军人在教学生走路
BV1464y1F7LH	四个人表演踢踏舞
BV16E411S7BQ	一个男子制作传统庙宇泥塑神像
BV1Dg4y1b7in	一个男人在打羽毛球
BV1A5411L7Uc	猫咪从架子上跳到了篮子里。
BV1bp4y1B7Jo	一个女孩在玩滑板
BV1j5411g7AD	一个女人在化妆。
BV1H64y1Q73r	一个男子在坐扶梯
BV1fk4y1k7eN	一条嘴巴很歪的鳄鱼在吃东西
BV1bK4y1K7E8	小熊猫用鼻子闻来闻去
BV1jg4y1B7bD	情侣在地铁里接吻
BV1CJ411b7oY	一个空姐在飞机里站着
BV1J44y1y7cA	一个男人站在梯子上，一个美女在跳舞。
BV1g5411e7UL	一个男人在打台球。
BV1AB4y1u7FR	一个金发女人在聊天。
BV1JK4y1f77P	一个人在雕刻硬币
BV1i5411J7Xw	熊在吃东西，一群狗对熊叫。
BV1Cq4y1K7LT	一个男孩连续做后空翻。
BV13v411W7Uz	一个人展示了很多的西装
BV1Hg4y1q7fr	两名战士在战斗
BV15a4y147UC	一个女子在做引体向上
BV15541147Dg	一名男子在抚摸雪豹。
BV1EA411j7zr	火车卷起雪冲到了乘客脸上
BV1aW411s7zq	一只狗在吐舌头。
BV1Cb4y1Q72F	一个人在抚摸雪貂。
BV1HE41187i4	一个男人在举杠铃
BV17y4y1k7pr	一个人正在焊接机器。
BV195411u753	一个人在摸雪貂
BV14z4y1S7WU	一个男人在做引体向上
BV15J411X78X	医生做手术时突然地震，继续做手术。
BV11q4y1Q7n9	一个男子在大街上展示拳击动作。
BV1Jh411s7Kf	一个人正在用铅笔在纸上画出一个男人。
BV11t4y1Y7TX	一个女子展示各种美甲
BV15X4y1c7EQ	一个男子吃路边摊的煎饼
BV1EK411j7B7	一个人在舞剑
BV16B4y1K7xM	一男子正在洗发黄的白衣服。
BV12P4y1p7ru	一个在跳舞的机器人。
BV11y4y1u7uX	一个女子模仿电影里的女性角色哭泣。
BV14k4y1C7Ex	一个男子花式玩悠悠球
BV1iJ411d7yz	一个男人在表演侧手翻
BV195411T7vu	一个男人在展示一辆奔驰汽车。
BV1ft411F7Q4	一个女孩在练习跆拳道
BV1EJ411r7ox	一个女孩在练舞房跳舞。
BV1hb4y1z7hN	一群人坐电梯
BV1554y1v7x7	一个男人在做深蹲。
BV1jf4y1e7An	一个女孩在理发。
BV1d5411G7wG	三个男人在宿舍拖地。
BV1ey4y1B78N	一只猫在模型城市里睡觉
BV177411N7NV	一名男子在剥花生。
BV147411E7Wx	一个人在电梯上看风景
BV14K4y1K7AA	一个男子展示皮筋魔术
BV1cN411o72D	一个人在展示如何把美甲贴取下来。
BV1D44y1y7rM	螃蟹吃玉米
BV1ft411y7Eh	一个男人手里抓着蛇
BV1fK411F7Qf	一个有肌肉的男人在体育馆倒立
BV1fV411d7TB	一个男人在抓黄鳝
BV1G3411z7uE	鸡和鸭在吃东西。
BV1g64y1z7rc	一个男孩在篮球场上扣篮。
BV1cU4y1H7r9	一只头上有红点的金毛狗子趴在地上吃榴莲。
BV1do4y1S7DQ	一个人在玩飞镖
BV1HJ411U7zT	一个人展示硬币。
BV1844y1r7TD	一个女人做美甲
BV1b54y1E75B	一个男人在耍俄罗斯弯刀。
BV1cL411t7pY	雪豹在草原奔跑
BV17N411f7ap	一个经历了雪崩后的雪山。
BV11V41127UR	一个女孩用单手编鱼骨辫
BV1484y1c7GT	一只小猪逐渐长大
BV15L411H7Xc	拉面馆老板娘切肉
BV1g5411b7mz	一个男人在做手指俯卧撑
BV1fz411e7pn	一个男人用复合弓在射箭
BV1j44y167a7	玫瑰花醒花过程教学
BV11f4y1277L	一个男子手上拿着快生宝宝的金鱼
BV1B7411s73D	一个美女在厨房工作
BV1Cq4y1D7Yv	一个人在制作烤肉卷饼
BV1Gp4y1a7ub	一个男明星在跳舞
BV1bE41147CF	一位男人在清洗他的蔬果
BV1D7411872b	一个人在教学各种做烧烤食品
BV1Bt411y76g	乘客上公交车
BV1J5411W77P	一只狗狗跳上汽车
BV1Fo4y117ML	一个辅警因执行公务牺牲
BV1gK41137iF	一个人在摸兔子的尾巴
BV19V411s72C	一个女人在训练缉毒犬
BV1D64y1F7E2	一个男人抱着球跳水，球飞的很高
